transaction_id,user_id,amount,location,device,timestamp
1,180,14407,London,Mobile,2024-01-01 00:00:00
2,113,68723,London,Tablet,2024-01-01 00:30:00
3,62,65683,Delhi,Mobile,2024-01-01 01:00:00
4,186,76993,London,Mobile,2024-01-01 01:30:00
5,52,78308,Mumbai,Tablet,2024-01-01 02:00:00
6,12,12974,London,Mobile,2024-01-01 02:30:00
7,39,69336,London,Laptop,2024-01-01 03:00:00
8,130,74121,Delhi,Laptop,2024-01-01 03:30:00
9,131,57376,New York,Tablet,2024-01-01 04:00:00
10,113,30701,London,Mobile,2024-01-01 04:30:00
11,101,70252,London,Laptop,2024-01-01 05:00:00
12,113,48827,New York,Laptop,2024-01-01 05:30:00
13,184,17044,Delhi,Laptop,2024-01-01 06:00:00
14,81,67313,New York,Laptop,2024-01-01 06:30:00
15,187,59684,Delhi,Mobile,2024-01-01 07:00:00
16,113,10850,Mumbai,Mobile,2024-01-01 07:30:00
17,2,37873,Delhi,Mobile,2024-01-01 08:00:00
18,130,63928,Mumbai,Mobile,2024-01-01 08:30:00
19,54,18758,Mumbai,Laptop,2024-01-01 09:00:00
20,87,12869,Delhi,Tablet,2024-01-01 09:30:00
21,129,74955,Bangalore,Tablet,2024-01-01 10:00:00
22,147,63920,Delhi,Laptop,2024-01-01 10:30:00
23,126,9333,London,Laptop,2024-01-01 11:00:00
24,130,30623,London,Tablet,2024-01-01 11:30:00
25,53,78757,Bangalore,Tablet,2024-01-01 12:00:00
26,172,30983,Mumbai,Laptop,2024-01-01 12:30:00
27,160,5824,Bangalore,Laptop,2024-01-01 13:00:00
28,198,72105,London,Mobile,2024-01-01 13:30:00
29,160,11033,Bangalore,Mobile,2024-01-01 14:00:00
30,68,18183,Delhi,Tablet,2024-01-01 14:30:00
31,183,14989,Bangalore,Laptop,2024-01-01 15:00:00
32,184,831,Mumbai,Tablet,2024-01-01 15:30:00
33,123,56750,Delhi,Mobile,2024-01-01 16:00:00
34,145,27674,New York,Mobile,2024-01-01 16:30:00
35,38,6873,London,Tablet,2024-01-01 17:00:00
36,24,18539,London,Mobile,2024-01-01 17:30:00
37,69,40011,Bangalore,Laptop,2024-01-01 18:00:00
38,116,29168,Delhi,Tablet,2024-01-01 18:30:00
39,98,22313,New York,Laptop,2024-01-01 19:00:00
40,198,13615,Delhi,Laptop,2024-01-01 19:30:00
41,139,20404,London,Mobile,2024-01-01 20:00:00
42,144,43001,Delhi,Laptop,2024-01-01 20:30:00
43,97,23698,New York,Tablet,2024-01-01 21:00:00
44,124,50779,Bangalore,Laptop,2024-01-01 21:30:00
45,187,42021,Mumbai,Laptop,2024-01-01 22:00:00
46,70,18708,Delhi,Laptop,2024-01-01 22:30:00
47,93,21303,Mumbai,Laptop,2024-01-01 23:00:00
48,3,64216,London,Laptop,2024-01-01 23:30:00
49,148,48613,Bangalore,Mobile,2024-01-02 00:00:00
50,187,26440,Bangalore,Tablet,2024-01-02 00:30:00
51,164,51628,Delhi,Mobile,2024-01-02 01:00:00
52,147,79075,Bangalore,Tablet,2024-01-02 01:30:00
53,90,32708,Delhi,Tablet,2024-01-02 02:00:00
54,195,6902,Delhi,Tablet,2024-01-02 02:30:00
55,147,2601,Mumbai,Tablet,2024-01-02 03:00:00
56,148,71997,Bangalore,Tablet,2024-01-02 03:30:00
57,96,61051,Delhi,Laptop,2024-01-02 04:00:00
58,199,49209,Mumbai,Mobile,2024-01-02 04:30:00
59,52,51757,New York,Mobile,2024-01-02 05:00:00
60,161,33293,Mumbai,Laptop,2024-01-02 05:30:00
61,168,21850,Mumbai,Tablet,2024-01-02 06:00:00
62,128,75989,Delhi,Mobile,2024-01-02 06:30:00
63,39,57878,London,Laptop,2024-01-02 07:00:00
64,82,7289,London,Laptop,2024-01-02 07:30:00
65,104,6760,London,Mobile,2024-01-02 08:00:00
66,129,21434,Mumbai,Mobile,2024-01-02 08:30:00
67,11,21088,Delhi,Tablet,2024-01-02 09:00:00
68,185,40896,Bangalore,Tablet,2024-01-02 09:30:00
69,178,67871,Mumbai,Mobile,2024-01-02 10:00:00
70,151,38041,Mumbai,Tablet,2024-01-02 10:30:00
71,159,79107,Delhi,Laptop,2024-01-02 11:00:00
72,42,7021,New York,Tablet,2024-01-02 11:30:00
73,99,29189,Mumbai,Tablet,2024-01-02 12:00:00
74,7,77117,New York,Laptop,2024-01-02 12:30:00
75,144,37761,New York,Tablet,2024-01-02 13:00:00
76,90,6580,London,Laptop,2024-01-02 13:30:00
77,112,11166,Delhi,Tablet,2024-01-02 14:00:00
78,60,65844,New York,Mobile,2024-01-02 14:30:00
79,113,332,Delhi,Tablet,2024-01-02 15:00:00
80,2,79523,London,Mobile,2024-01-02 15:30:00
81,129,1948,Delhi,Mobile,2024-01-02 16:00:00
82,48,4185,Mumbai,Mobile,2024-01-02 16:30:00
83,140,6679,New York,Mobile,2024-01-02 17:00:00
84,197,65081,Delhi,Mobile,2024-01-02 17:30:00
85,37,33430,Bangalore,Laptop,2024-01-02 18:00:00
86,160,17121,Delhi,Laptop,2024-01-02 18:30:00
87,9,20124,New York,Laptop,2024-01-02 19:00:00
88,99,67893,London,Mobile,2024-01-02 19:30:00
89,147,39951,London,Tablet,2024-01-02 20:00:00
90,48,11255,New York,Laptop,2024-01-02 20:30:00
91,131,55711,Mumbai,Tablet,2024-01-02 21:00:00
92,148,5956,Mumbai,Tablet,2024-01-02 21:30:00
93,152,2641,London,Mobile,2024-01-02 22:00:00
94,54,63037,London,Mobile,2024-01-02 22:30:00
95,120,63420,New York,Mobile,2024-01-02 23:00:00
96,161,54450,Mumbai,Laptop,2024-01-02 23:30:00
97,152,25200,London,Mobile,2024-01-03 00:00:00
98,116,31902,Mumbai,Laptop,2024-01-03 00:30:00
99,75,42920,London,Laptop,2024-01-03 01:00:00
100,113,52806,Delhi,Laptop,2024-01-03 01:30:00
101,200,56531,Bangalore,Laptop,2024-01-03 02:00:00
102,164,1333,Delhi,Mobile,2024-01-03 02:30:00
103,166,33741,London,Laptop,2024-01-03 03:00:00
104,104,1175,Bangalore,Mobile,2024-01-03 03:30:00
